sent,label
 画面 中 包公 秉公 断案 人物一 柔弱 无助 人物二 恃 强 抵赖 老 太后 软硬兼施 一一 表现 淋漓尽致 一幅 质量上乘 民间艺术 作品,1
 人物二 不认 母子 三人 逐出 府 人物一 得展 昭之助 来到 包拯 台前 具状 申告,1
 年 陆续 推出 郑元和 李亚仙 青天 难断 人物二 人物一 前世 今生 蝴蝶梦 新 宝莲灯 精致 歌仔戏,1
 故事 大纲 人物二 家境贫寒 妻子 人物一 恩爱 和谐 十年 苦读 人物二 进京 赶考 中 状元 仁宗招 驸马,1
 铡 美案 讲述 新科状元 人物二 召为 驸马 人物二 结发 妻子 人物一 前来 寻夫 逐出 府 遭 人物二 追杀,1
 袁姗姗 吕晶晶 关智斌 主演 古装 情感 剧 人物一 饰演 人物二,1
 斥神 中 扮演 范进 人物一 中 扮演 人物二,1
 当时 人物一 心中 痛苦 仍然 人物二 诉说 家乡 连遭 灾荒 公婆 双双 饿死 不幸 希望 人物二 认下 妻子儿女,1
 戏曲 铡 美案 中 人物二 人物一 提到 湖广 均州 湖北省 丹江口市 人氏,1
 人物一 人物二,1
 太师 之子 庞虎 逼婚 人物一 不慎 落水 顺江 书生 人物二 所救,1
 人物二 中 状元 招为 驸马 不认 前妻 人物一 母子 反差 韩琪 追杀,1
 人物一 自幼儿 配夫 人物二,1
 人物一 还给 人物二 留着 一点 面子 说 均 州 老乡 千里 祈盼 见面 一叙,1
 高正 饰 张忠民 王丽珍 剧情 介绍 现代 人物二 人物一 故事,1
 圣旨 竟是 代 人物二 脱罪 命 人物一 即将 驸马 送回 宫去,1
 京城 人物一 连夜 写 控诉 人物二 罪恶 御状 要求 王 丞相 代 呈 皇帝,1
 人物二 人物一 饰,1
 第二天 早晨 张元龙 带 人物一 母子 三人到 驸马 府 紫墀 宫 找 人物二 人物二 不让 进宫,1
 ◎ 年 月 国家 剧院 黄香莲 歌仔戏 人物二 人物一 设计 音乐 演出 八 方位 室内乐 团,1
 该剧 讲述 一个 现代版 人物一 人物二 故事 阴谋 爱情 充斥 全剧 始终,1
 青天 难断 人物二 人物一 皇帝 国家 戏剧 院,1
 穿 人物 人物一 中 人物二 玉堂春 中 王金龙 群英会 中 周瑜,1
 人物一 带者 两个 孩子 辛辛苦苦 赶到 京城 找到 人物二 竟 说 认识 派 一个 武官 杀,1
 人物二 害怕 真相 暴露 派 杀手 一再 追杀 妻子儿女 人物一 无奈 之下 一纸 诉状 递到 开封 府尹 包拯 手中,1
 升官发财 人物二 更 抛弃 前妻 人物一 千金小姐 驸马,1
 人物一 见 朝廷 昏庸 忍无可忍 当即 杀 人物二 报 十年 宿仇 杀出 皇城 重奔 解元 山,1
 人物二 不认 人物一 喜新厌旧,1
 均 县 北门 街不唱 人物二 秦家楼 唱 人物一 俗话,1
 年 参加 湖南卫视 元旦晚会 著名 主持人 何炅 人物二 人物一 著名 艺人 同台 演出,1
 主持人 人物二 陈鲁豫 何炅 人物一,1
 版 人物二 老婆 人物一,1
 流产 传闻 困扰 人物二 爱妻 人物一 一段 比较 沉寂 湖南卫视 七夕 之夜 这台 话剧 里 重挑大任,1
 人物二 个人 生活 人物二 妻子 人物一 张,1
 人物一 人物二 木火 通明,1
 人物二 人物一,1
 主持人 人物二 人物一,1
 年 月 元旦节 当晚 湖南卫视 金芒果 粉丝 节 人物二 承认 人物一 结婚,1
 酸菜 人物二 人物一 儿子 名字,1
 湖南卫视 著名 主持人 人物二 长沙 王府井 专柜 女朋友 人物一 精心 选购 两个 蚕丝 枕,1
 人物二 人物一 华少 林海 尹红 孔令辉 国家 乒乓球 女队 纷纷 呼吁 关爱 自闭症 儿童 点亮 星星 孩子 一片 天空,1
 王一楠 撒娇 分饰两角 人物二 人物一 分头 挑战,1
 并配 一张 人物二 人物一 素颜 合影 合影 中 两人 甜蜜 人物二 手里 纸 做 玫瑰,1
 果实 戏剧社 成立 果实 戏剧社 长沙 话剧 人士 张芸 芒果 台 台柱 主持人 人物二 携 爱妻 人物一 共同 成立,1
 月 江西 南昌 超级 歌会 红人红 歌会 主要演员 人物二 人物一 孙楠 李宇春 何洁 郑源,1
 照片 里 初为人 父母 人物二 人物一 幸福 满满 深情,1
 年 人物二 人物一 两个 恋情 浮出 水面 公开场合 承认 热恋 关系,1
 庞龙 李连杰 蔡依林 王菲 李亚鹏 人物二 人物一 郭品超,1
 汪十安 乳名 沐 沐 年 月 日 出生 人物二 人物一 爱子,1
 个人 生活 人物二 妻子 人物一 张,1
 人物一 抱 婴儿 一脸 甜蜜 人物二 主动 献 吻 爱妻 表情 显而易见 早已 甜到 心头 激情 澎湃,1
 据说 一个 迷恋 人物二 贵州 女 大学生 竟然 想 整成 人物一,1
 果实 戏剧 工作室 长沙 话剧 人士 张芸 芒果 台 台柱 主持人 人物二 携 爱妻 人物一 共同 成立,1
 主持 李湘 人物二 人物一 李响 夏颖,1
 年 月 人物一 爆 已经 怀孕 超过 三个 月 人物二 面对 好友 韩红 节目 中 调侃 默认 即将 当爹,1
 重庆 啤酒节 主持人 同场 主持 人物二 人物一 陈述 李湘,1
 玫瑰 之约 主持 阵容 金晓琳 冯祺 郑慧琳 仇晓 人物二 人物一,1
 人物一 人物二 张,1
 节目 人物二 何炅 人物一 谢娜 主持 每周五 晚 湖南卫视 播出,1
 年 月 元旦节 当晚 湖南卫视 金芒果 粉丝 节 人物二 承认 人物一 结婚,1
 湖南卫视 歌手 张勇 主持人 李锐 张丹丹 人物二 人物一 李维嘉 李兵 李湘 马可,1
 看点 三 人物二 爱妻 人物一 十年 三 初体验,1
 汪十安 乳名 沐 沐 年 月 日 出生 人物二 人物一 儿子,1
 明星阵容 主持 团队 越 淘越 开心 先后 人物二 人物一 李斯 羽 李慧玲 柯豆 担任 主持人 现任 主持人 魏巍 潘丹,1
 人物一 个人 生活 年 人物一 人物二 一起 主持 玫瑰 之约 之后 人物一 人物二 成为 恋人,1
 网友 看到 这条 微博后 纷纷 留言 祝福 人物二 人物一,1
 人物二 人物一 夫妇 无意之中 挑战 一把 老朋友 话剧 女王 王一楠,1
 主持 阵容 金晓琳 冯祺 郑慧琳 仇晓 人物二 人物一,1
 个人 生活 年 人物一 人物二 一起 主持 玫瑰 之约 之后 人物一 人物二 成为 恋人,1
 年 玫瑰 之约 改版 人物一 人物二 担任 主持人,1
 几个 月 前 人物二 亲口 承认 即将 当爹 喜讯 人物一 辞去 手上 唯一 常规 节目 安心 养胎 怀孕 三个 月 流产,1
 越 淘越 开心 主持人 人物二 人物一,1
 年 月 湖南卫视 邀请 人物一 来到 湖南 人物二 相恋,1
 人物二 人物一 身份 不会 仅仅 局限于 主持人 还会 非常 特别 表达方式 展现 浪漫情怀,1
 年 月 湖南卫视 邀请 人物一 来到 湖南 人物二 相恋,1
 主持 阵容 金晓琳 冯祺 郑慧琳 仇晓 人物二 人物一,1
 扬刀立 威 大会 金毛狮 王 谢逊 一声 狮子吼 众人 吼 晕 夺 屠龙刀 人物二 人物一 强行 带走 想 找 清静 地方 研究,1
 张无忌 回 中原 张三丰 虚岁 人物二 人物一 自杀,1
 人物一 心中 甚喜 眼光 人物二 脸上 一转 秋波 流动 梨涡 浅现,1
 咎愧 之下 人物二 横剑 自刎 人物一 美好 将来 自然 灰飞烟灭,1
 人物二 人物一 结合 引发 正邪 两派 纷争,1
 年 制片方 豪华 电影 公司 导演 张瑛 主演 张瑛 饰 人物二 白燕 饰 人物一,1
 人物二 见 双目 中 流出 一缕 鲜血 知道 人物一 危急 之中 终于 射出 银针 谢逊 神智 昏迷 竟尔 没有 提防 双目 中针 成 盲人,1
 评价 杨逍 纪晓芙 可歌可泣 爱情故事 人物二 人物一 气节 做出 自尽 选择 黎美娴 版 赵敏 剧照 张,1
 人物二 人物一 为存 忠义 维护 谢逊 三缄其口,1
 人物一 人物二 冰火 岛上 结为夫妇 诞下 一子 张无忌,1
 武林高手 前来 兴师问罪 面对 众多 名门 大派 张三丰 母鸡 保护 小鸡 依然 毫不犹豫 回护 人物二 人物一,1
 张无忌 金庸 武侠小说 倚天 屠龙记 第二 第四卷 男主角 武当 人物二 天鹰 教 人物一 之子 出生 冰火 岛过 原始 生活,1
 人物二 人物一 未死,1
 人物二 见 人物一 知道 人物一 身份 立即 倒 纵离 船,1
 人物一 人物二 杀 以全 武当七侠 之义 时 人物二 举刀 妻子 时 眼睛 里 怒 有怨 恨 爱,1
 武当 弟子 人物二 天鹰 教 教主 之女 人物一 一正 一邪 屠龙刀 相遇 相恋 最后 屠龙刀 先后 自尽,1
 屠龙刀 人物二 不会 下山 结识 邪教 女子 人物一 屠龙刀,1
 谢逊 狮子吼 众人 震至 失聪 掳走 武当派 人物二 天鹰 教 人物一 乘船 离岛,1
 杨逍 纪晓芙 之恋 人物二 人物一 之恋 相 辉映 张无忌 赵敏之 恋 相 呼应,1
 难道 人物一 喜欢 人物二 想 改嫁,1
 张三丰 九十岁 寿辰 余岱岩 残废 人物二 人物一 相遇 张 殷 谢三人 前往 冰火 岛,1
 机缘 凑 人物二 人物一 一段 情缘 悲剧 结束,1
 第十九章 记得 答应 事 人物二 人物一,1
 路晨 饰 杨不悔 射雕 三部曲 电影 倚天 屠龙记 集 香港 豪华 影片 公司 张瑛 饰 人物二 白燕 饰 人物一,1
 武当 五侠 人物二 追查 俞岱岩 被害 事 结识 人物一 二人 赴 王盘山 金毛狮 王谢逊 强行 带走 三人 辗转 抵达 冰火 岛,1
 第七回 女孩 必读 人物一 顺利 拿下 人物二,1
 人物二 人物一 活着,1
 谢逊 狮子吼 众人 震成 痴呆 掳走 武当派 人物二 天鹰 教 人物一 乘船 离岛,1
 人物一 之死 不可 人物二 同日而语,1
 人物一 人物二 爱情 相 比较 占有 内容 更 篇幅 主角 爱情 更 显其 凄美,1
 人物一 人物二 后来 更 结成 夫妇 岛上 诞下 一子名 张无忌,1
 邵氏 电影 神剑 震 江湖 改编 金庸 原著 小说 倚天 屠龙记 节选 人物二 人物一 一段 人物 名字 改得 原著 不同,1
 人物二 人物一,1
 对此 懵然 不知 武当 五侠 人物二 人物一 婚后 十年 方知 此事 愧怒 之余 自刎 群雄 面前,1
 人物一 至性 至情 三 人物二 想象 不到 浅 笑盈盈 风度翩翩 妻子 凶手,1
 一念 之仁 谢逊 放过 人物二 人物一 世上 张无忌 最后 无忌 激起 慈爱 之心 终使 谢逊 一生 怨愤 得到 化解,1
 后来 帮助 人物二 人物一 张无忌 离开 冰火 岛 临行 前教 无忌 武功 秘籍 口诀,1
 武功 人物二 人物一 谢逊 教 名字 不明,1
 人物二 暂且 抛开 善 恶 礼教 外 束缚 鼓足勇气 听任 生命 本能 意志 驱使 打开 尘封已久 真情 接受 人物一 爱,1
 喜欢 人物二 付出 一生 至性 至情 人物一,1
 武当派 张三丰 弟子 人物二 白眉鹰 王之 女 人物一 金毛狮 王 谢逊 抓 做 人质 带到 北海 一个 无人 荒岛 倚天 屠龙记 冰火 岛 张,1
 穿越 穿越 张无忌 他姐 金毛狮 王 义女 人物二 人物一 女儿 赚 赚 翻,1
 刘松仁 版 人物二 人物一 明教 白眉鹰 王及 天鹰 教 教主 殷天正 之女 江湖 忌 小妖女,1
 五 弟子 人物二 寻找 真凶 途中 遇到 天鹰 教 人物一 两个 深知 正邪 两教 不共戴天 暗生 情愫,1
 金庸 先生 笔下 倚天 屠龙记 人物二 人物一 初识 一笔 肚痛 帖 路人 不识 人物一 口念 夏虫 不可 语冰 开 人物二 心扉,1
 一系列 机缘巧合 之下 最后 武当 人物二 白眉鹰 王 殷天正 之女 人物一 夺得 屠龙刀 谢逊 流落 远离 中土 近 千里 冰火 岛,1
 武当 人物二 之子 自幼 人物二 人物一 谢逊 冰火 岛 生活 秉承 三人 教导 善良 纯朴,1
 人物二 全身 发抖 目光 中如要 喷出 火来 指着 人物一 道,1
 人物二 暂且 抛开 善 恶 礼教 外 束缚 鼓足勇气 听任 生命 本能 意志 驱驰 打开 尘封已久 真情 接受 人物一 爱,1
 人物一 天鹰 教 教主 之女 天鹰 教 得到 屠龙刀 以后 召开 扬刀立 威 大会 张三丰 五 徒弟 人物二 大会,1
 狮子吼 震败 王盘山 群雄 抢夺 屠龙刀 狂性 大发 双目 人物一 所毁 人物二 三人 流落 冰火 岛,1
 人物二 摇 摇头 见 人物一 伤口 中流 殷红 鲜血 放开 手掌 回过头来 笑 道 一掌 力道 真是 不小,1
 狮子吼 震败 王盘山 群雄 抢夺 屠龙刀 狂性 大发 双目 人物一 所毁 人物二 三人 流落 冰火 岛,1
 人物一 天鹰 教 教主 之女 天鹰 教 得到 屠龙刀 以后 召开 扬刀立 威 大会 张三丰 五 徒弟 人物二 张无忌 父 大会,1
 奇怪的是 人物一 拔出 佩剑 倒转 剑柄 递给 人物二 他杀,1
 张无忌 武当 名侠 人物二 天鹰 教 妖女 人物一 儿子 身上 流动 血脉 正 邪 两派 中,1
 人物二 人物一 猜 说话 之人定 空见大师,1
 人物二 死得 惨烈 人物一 死得 悲壮,1
 年 月 临安 龙门 镖局 人物二 对质 时 人物一 以针 杀 造成 人物二 蒙 不白之冤,1
 人物二 人物一 强行 带走 想 找 清静 地方 研究,1
 武当 五侠 人物二 刘松仁 饰 天鹰 教 妖女 人物一 米雪 饰 争夺 屠龙刀 认识 情深 爱切,1
 人物二 知悉 当年 俞岱岩 残废 竟因 人物一 发蚊 须针 俞岱岩 情义 难全 人物二 最终 愧疚 自刎 当场,1
 人物一 一声 不禁 深 郭襄 难过 转眼 人物二 瞧,1
 请 注意 文中 顺序 俞岱岩 先 床上 摔下来 晕过去 之后 人物一 人物二 杀 人物二 下不去 手 愣 一会 大叫 一声 冲出去,1
 较为 合理 情节 变化 做到 一点 人物二 人物一 退出 可能 会 比较 平淡 却是 作者 愿意,1
 人物二 写 锋 字 最后 一笔 银钩 铁笔 石壁 一撑 翻身 落地 轻轻 巧巧 落 人物一 身旁,1
 阴谋 请问 人物二 选择 人物一,1
 武当派 武当七侠 人物二 天鹰 教紫微 堂主 人物一 之子 明教 四大 法王 金毛狮 王 谢逊 义子,1
 人物一 人物二 相见 居然 书法 展览会 改 奇怪 心有灵犀 相视 一笑 默契 相知 味道,1
 事 人物二 早 听 师父 说 人物一 却是 第一次 听到 极 感兴趣 说道 原来 峨嵋派 上代 武当派 渊源,1
 张无忌 金庸 武侠小说 倚天 屠龙记 第二 第四卷 男主角 武当 人物二 明教 人物一 之子 出生 冰火 岛过 原始 生活,1
 倚天 屠龙记 剧情简介 上集 武当 人物二 奉师 张三丰 命寻 屠龙刀 途中 邂逅 白眉 教 香主 人物一 二人 生 情愫,1
 人物二 人物一 一家 金毛狮 王 谢逊 冰火 岛 生活 十几年 返回 中原 整部 剧 主要 内容,1
 人物一 伤害 俞岱岩 致使 终身 残废 旧事 揭露 人物二 愧对 俞岱岩 自刎 死 人物一 自杀 殉情,1
 人物二 追查 俞岱岩 被害 之事 结识 人物一,1
 人物二 手中 没 兵刃 忙 拉 人物一 跃上 一株 松树,1
 人物二 人物一 手中 接过 长剑 对准 熊头 运劲 摔 下去,1
 谢逊 天鹰 教 举行 扬刀立 威 大会 夺得 宝刀 找出 屠龙刀 秘密 强逼 人物二 人物一 孤岛 思索,1
 三人 海上 遇难 辗转 流落 冰火 岛 岛上 一住 便是 十年 其间 人物二 人物一 成亲 生下 一子 张无忌,1
 为保 义兄 谢逊 人物二 人物一 宁死 泄露 屠龙刀 下落 双双 自刎,1
 人物一 角色 评价 人物二 爱情,1
 人物一 人物二 更 结成 夫妇 岛上 诞下 一子名 张无忌,1
 剧情简介 武当 弟子 人物二 魔教 妖女 人物一 结为 夫妻 生下 一子 张无忌,1
 人物二 十分 聪明伶俐 张松溪 更是 七侠 中 足智多谋 写 人物一,1
 福禄寿三星 报喜 天中映 画 出品 一部 古装 神话 喜剧 刘志 导演 欧阳震华 张世 人物二 人物一 保剑锋 唐一菲 主演,1
 主演 人物二 人物一 吴家丽 连凯 温峥嵘 郑安伦 刘威 王惠 春 葛蕾,1
 人物一 郑斌辉 人物二 黄文永 向云,1
 年 福禄寿三星 报喜 欧阳震华 人物二 人物一 徐峥 保剑锋 宁静 寇振海 牛萌萌 饰演,1
 友情 出演 人物一 人物二 孙红雷 郭涛 佟丽娅 张晓龙 金志 文 邬倩倩 徐佳 孙桂田,1
 神雕侠侣 主演 人物二 人物一 台湾 受欢迎 电视剧 奖,1
 奔月 内地 香港 合拍 潘文杰 执导 人物二 人物一 温峥嵘 连凯 联袂 主演 古装 神话 电视剧,1
 年 新加坡 版 人物二 人物一 主演 黄淑 韵 饰演 傻姑,1
 年 吴家丽 参演 人物一 人物二 领衔主演 神话 古装 电视剧 奔月 饰演 羲,1
 人物二 人物一 主演,1
 演唱 人物一 人物二 孙燕姿 蔡健雅 欧菁 仙 郑秀珍 郑惠玉 郑斌辉 李南星 葛米星,1
 戏中 找 即将 年底 结婚 萤幕 情侣 人物二 人物一 领衔主演,1
 人物二 人物一,1
 人物二 拿下 视帝 感谢 妻子 人物一 前男友 尴尬 相遇,1
 两人 会 请假 度蜜月 张莲花 说 人物二 人物一 拍 新剧 难兄难弟 双子星 根本 没空 计划 蜜月 假期,1
 年 大喜事 合作 演员 人物一 人物二 刘雅丽 黎明 周 崇庆,1
 主角 人物一 看起来 略显 姑姑 人物二 真的 侄儿,1
 无炎 爱 新加坡 制片 人物一 郑斌辉 人物二 李锦 梅 陈凤 玲 主演 集 情感 都市 剧,1
 年 神雕侠侣 饰 霍都 合作 演员 人物一 人物二,1
 个人 生活 年 月 人物一 演员 人物二 新加坡 香格里拉酒店 举行 婚礼 并于 年 月 正式 宣布 怀孕,1
 青蛇 白蛇 人物一 焦恩俊 人物二 主演,1
 年 青蛇 白蛇 主演 人物一 人物二 焦恩俊 张玉嬿,1
 人物一 人物二 孙燕姿 蔡健雅 欧菁 仙 郑秀珍 郑惠玉 郑斌辉 李南星 葛米星 演唱 一首歌,1
