id,rule,frequency,label
67,冯巩 姜昆 人物二,10,0
68,当时 人物二 人物一,10,0
69,人物一 人物二 中,9,0
70,人物一 人物二 族弟,9,0
71,人物一 人物二 老师,9,0
72,人物一 师从 人物二,9,0
73,人物一 年 日,9,0
74,人物一 年 月 日,9,0
75,人物一 月 日,9,0
76,人物二 人物一 主演,9,0
77,人物二 人物一 相声,9,0
78,人物二 赵炎 人物一,9,0
79,召唤 主要 人物二,9,0
80,孟僖子 孟懿子 人物一,9,0
81,年 日 人物一,9,0
82,年 月 日 人物一,9,0
83,杨开慧 人物二 人物一,9,0
84,相声 人物二 人物一,9,0
85,中 人物 人物一,8,0
86,人物一 二人转 人物二,8,0
87,人物一 人物一 人物一 人物二,8,0
88,人物一 人物二 封神,8,0
89,人物一 姜昆 人物二,8,0
90,人物一 姜昆 侯耀文,8,0
91,人物一 姜昆 已故,8,0
92,人物一 姜昆 石富宽,8,0
93,人物一 姜昆 石富宽 人物二,8,0
94,人物一 姜昆 石富宽 已故,8,0
95,人物一 徒弟 人物一,8,0
96,人物一 石富宽 人物二,8,0
97,人物一 石富宽 已故,8,0
98,人物二 人物一 下山,8,0
99,人物二 人物一 两人,8,0
100,人物二 人物一 合作,8,0
101,人物二 人物一 姜昆,8,0
102,人物二 人物一 封神榜,8,0
103,人物二 人物一 沈阳,8,0
104,人物二 人物一 礼乐,8,0
105,人物二 宋小宝 人物一,8,0
106,人物二 徒弟 人物一 年,8,0
107,人物二 徒弟 年,8,0
108,人物二 执导 人物一,8,0
109,人物二 时 人物一,8,0
110,人物二 赵炎 冯巩,8,0
111,冯巩 人物一 人物二,8,0
112,冯巩 人物二 已故,8,0
113,冯巩 唐杰忠 人物二,8,0
114,冯巩 唐杰忠 已故,8,0
115,冯巩 姜昆 唐杰忠,8,0
116,冯巩 姜昆 唐杰忠 人物二,8,0
117,冯巩 姜昆 唐杰忠 已故,8,0
118,冯巩 姜昆 已故,8,0
119,冯巩 李国盛 人物二,8,0
120,冯巩 李国盛 已故,8,0
121,冯巩 笑林 人物二,8,0
122,冯巩 笑林 已故,8,0
123,冯巩 笑林 李国盛,8,0
124,冯巩 笑林 李国盛 人物二,8,0
125,冯巩 笑林 李国盛 已故,8,0
126,召唤 李子 人物二,8,0
127,唐杰忠 人物二 已故,8,0
128,姜昆 人物一 人物二,8,0
129,姜昆 唐杰忠 人物二,8,0
130,姜昆 唐杰忠 已故,8,0
131,姜昆 石富宽 人物二,8,0
132,姜昆 石富宽 已故,8,0
133,孟僖子 人物一 人物二,8,0
134,孟僖子 孟懿子 人物一 人物二,8,0
135,孟僖子 孟懿子 人物二,8,0
136,年 人物二 徒弟,8,0
137,年 孟懿子 人物一,8,0
138,年 孟懿子 人物一 人物二,8,0
139,年 孟懿子 人物二,8,0
140,年 月 人物一 人物二,8,0
141,徒弟 人物一 年,8,0
142,拜师 人物二 人物一,8,0
143,演员 人物二 人物一,8,0
144,相声 人物一 侯耀文,8,0
145,相声 人物一 冯巩,8,0
146,相声 人物一 姜昆,8,0
147,相声 人物一 姜昆 人物二,8,0
148,相声 人物一 姜昆 侯耀文,8,0
149,相声 人物一 姜昆 已故,8,0
150,相声 人物一 姜昆 石富宽,8,0
151,相声 人物一 姜昆 石富宽 人物二,8,0
152,相声 人物一 姜昆 石富宽 已故,8,0
153,相声 人物一 石富宽,8,0
154,相声 人物一 石富宽 人物二,8,0
155,相声 人物一 石富宽 已故,8,0
156,相声 冯巩 人物一,8,0
157,相声 冯巩 人物二 已故,8,0
158,相声 冯巩 唐杰忠,8,0
159,相声 冯巩 唐杰忠 人物二,8,0
160,相声 冯巩 唐杰忠 已故,8,0
161,相声 冯巩 姜昆,8,0
162,相声 冯巩 姜昆 人物二,8,0
163,相声 冯巩 姜昆 唐杰忠,8,0
164,相声 冯巩 姜昆 唐杰忠 人物二,8,0
165,相声 冯巩 姜昆 唐杰忠 已故,8,0
166,相声 冯巩 姜昆 已故,8,0
167,相声 冯巩 李国盛,8,0
168,相声 冯巩 李国盛 人物二,8,0
169,相声 冯巩 李国盛 已故,8,0
170,相声 冯巩 笑林,8,0
171,相声 冯巩 笑林 人物二,8,0
172,相声 冯巩 笑林 已故,8,0
173,相声 冯巩 笑林 李国盛,8,0
174,相声 冯巩 笑林 李国盛 人物二,8,0
175,相声 冯巩 笑林 李国盛 已故,8,0
176,相声 唐杰忠 人物二 已故,8,0
177,相声 姜昆 侯耀文,8,0
178,相声 姜昆 唐杰忠,8,0
179,相声 姜昆 唐杰忠 人物二,8,0
180,相声 姜昆 唐杰忠 已故,8,0
181,相声 姜昆 石富宽,8,0
182,相声 姜昆 石富宽 人物二,8,0
183,相声 姜昆 石富宽 已故,8,0
184,相声 已故 人物二,8,0
185,相声 李国盛 人物二,8,0
186,相声 李国盛 已故,8,0
187,相声 石富宽 人物二,8,0
188,相声 石富宽 已故,8,0
189,相声 笑林 人物二,8,0
190,相声 笑林 已故,8,0
191,相声 笑林 李国盛,8,0
192,相声 笑林 李国盛 人物二,8,0
193,相声 笑林 李国盛 已故,8,0
194,相声 赵炎 人物二,8,0
195,相声 赵炎 侯耀文,8,0
196,相声 赵炎 已故,8,0
197,笑林 李国盛 人物二,8,0
198,笑林 李国盛 已故,8,0
199,长子 人物二 人物一,8,0
