id,rule,frequency,label
121,人物一 年 日,8,0
122,人物一 年 月 日,8,0
123,人物一 收录 专辑,8,0
124,人物一 收录 专辑 中,8,0
125,人物一 收录 中,8,0
126,人物一 生下 人物二,8,0
127,人物二 一首 专辑,8,0
128,人物二 一首 专辑 中,8,0
129,人物二 一首 中,8,0
130,人物二 一首 收录,8,0
131,人物二 一首 收录 专辑,8,0
132,人物二 一首 收录 专辑 中,8,0
133,人物二 一首 收录 中,8,0
134,人物二 一首 歌曲,8,0
135,人物二 一首 歌曲 专辑,8,0
136,人物二 一首 歌曲 专辑 中,8,0
137,人物二 一首 歌曲 中,8,0
138,人物二 一首 歌曲 收录,8,0
139,人物二 一首 歌曲 收录 专辑,8,0
140,人物二 一首 歌曲 收录 专辑 中,8,0
141,人物二 一首 歌曲 收录 中,8,0
142,人物二 中 人物 人物一,8,0
143,人物二 人物 人物二,8,0
144,人物二 人物一 山庄,8,0
145,人物二 人物一 说,8,0
146,人物二 人物一 追杀,8,0
147,人物二 传奇 人物二,8,0
148,人物二 作曲 收录,8,0
149,人物二 作曲 收录 专辑,8,0
150,人物二 作曲 收录 专辑 中,8,0
151,人物二 作曲 收录 中,8,0
152,人物二 剑 人物一,8,0
153,人物二 劝 人物一,8,0
154,人物二 幽灵 山庄,8,0
155,人物二 持觞 人物一,8,0
156,人物二 持觞 劝,8,0
157,人物二 持觞 劝 人物一,8,0
158,人物二 收录 专辑,8,0
159,人物二 收录 专辑 中,8,0
160,人物二 收录 中,8,0
161,人物二 月 人物一,8,0
162,人物二 月 日,8,0
163,人物二 歌曲 专辑 中,8,0
164,人物二 歌曲 中,8,0
165,人物二 歌曲 收录,8,0
166,人物二 歌曲 收录 专辑,8,0
167,人物二 歌曲 收录 专辑 中,8,0
168,人物二 歌曲 收录 中,8,0
169,人物二 演唱 一首,8,0
170,人物二 演唱 一首 专辑,8,0
171,人物二 演唱 一首 专辑 中,8,0
172,人物二 演唱 一首 中,8,0
173,人物二 演唱 一首 收录,8,0
174,人物二 演唱 一首 收录 专辑,8,0
175,人物二 演唱 一首 收录 专辑 中,8,0
176,人物二 演唱 一首 收录 中,8,0
177,人物二 演唱 一首 歌曲,8,0
178,人物二 演唱 一首 歌曲 专辑,8,0
179,人物二 演唱 一首 歌曲 专辑 中,8,0
180,人物二 演唱 一首 歌曲 中,8,0
181,人物二 演唱 一首 歌曲 收录,8,0
182,人物二 演唱 一首 歌曲 收录 专辑,8,0
183,人物二 演唱 一首 歌曲 收录 中,8,0
184,人物二 演唱 收录,8,0
185,人物二 演唱 收录 专辑,8,0
186,人物二 演唱 收录 专辑 中,8,0
187,人物二 演唱 收录 中,8,0
188,人物二 演唱 歌曲,8,0
189,人物二 演唱 歌曲 专辑,8,0
190,人物二 演唱 歌曲 专辑 中,8,0
191,人物二 演唱 歌曲 中,8,0
192,人物二 演唱 歌曲 收录,8,0
193,人物二 演唱 歌曲 收录 专辑,8,0
194,人物二 演唱 歌曲 收录 专辑 中,8,0
195,人物二 演唱 歌曲 收录 中,8,0
196,人物二 父亲 母亲,8,0
197,年 月 人物一 上海,8,0
198,年 蒋介石 人物一,8,0
199,月 人物一 上海,8,0
